TIME,GEO,UNIT,SEX,AGE,ICD10,Value,Flag and Footnotes
2001,France,Number,Females,Total,Event of undetermined intent,202,
2002,France,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98,278 794,
2002,France,Number,Males,Total,Certain infectious and parasitic diseases (A00-B99),5 468,
2002,France,Number,Males,Total,Tuberculosis,507,
2002,France,Number,Males,Total,Meningococcal infection,21,
2002,France,Number,Males,Total,Viral hepatitis,472,
2002,France,Number,Males,Total,Human immunodeficiency virus [HIV] disease,835,
2002,France,Number,Males,Total,Neoplasms,92 331,
2002,France,Number,Males,Total,Malignant neoplasms (C00-C97),89 122,
2002,France,Number,Males,Total,"Malignant neoplasm of lip, oral cavity, pharynx",3 834,
2002,France,Number,Males,Total,Malignant neoplasm of oesophagus,3 509,
2002,France,Number,Males,Total,Malignant neoplasm of stomach,3 256,
2002,France,Number,Males,Total,Malignant neoplasm of colon,6 267,
2002,France,Number,Males,Total,"Malignant neoplasm of rectosigmoid junction, rectum, anus and anal canal",2 365,
2002,France,Number,Males,Total,Malignant neoplasm of liver and intrahepatic bile ducts,5 231,
2002,France,Number,Males,Total,Malignant neoplasm of pancreas,3 875,
2002,France,Number,Males,Total,"Malignant neoplasm of larynx,  trachea, bronchus and lung",22 533,
2002,France,Number,Males,Total,Malignant melanoma of skin,733,
2002,France,Number,Males,Total,Malignant neoplasm of breast,188,
2002,France,Number,Males,Total,Malignant neoplasm of cervix uteri,:,
2002,France,Number,Males,Total,Malignant neoplasm of other parts of uterus,:,
2002,France,Number,Males,Total,Malignant neoplasm of ovary,:,
2002,France,Number,Males,Total,Malignant neoplasm of prostate,9 526,
2002,France,Number,Males,Total,"Malignant neoplasm of kidney, except renal pelvis",1 929,
2002,France,Number,Males,Total,Malignant neoplasm of bladder,3 306,
2002,France,Number,Males,Total,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",6 703,
2002,France,Number,Males,Total,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1 023,
2002,France,Number,Males,Total,"Endocrine, nutritional and metabolic diseases (E00-E90)",8 366,
2002,France,Number,Males,Total,Diabetes mellitus,5 195,
2002,France,Number,Males,Total,Mental and behavioural disorders (F00-F99),7 476,
2002,France,Number,Males,Total,Mental and behavioural disorders due to use of alcohol,2 559,
2002,France,Number,Males,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",121,
2002,France,Number,Males,Total,Diseases of the nervous system and the sense organs (G00-H95),9 773,
2002,France,Number,Males,Total,Meningitis,96,
2002,France,Number,Males,Total,Diseases of the circulatory system (I00-I99),74 756,
2002,France,Number,Males,Total,Ischaemic heart diseases,24 569,
2002,France,Number,Males,Total,"Other heart diseases (I30-I33, I39-I52)",19 657,
2002,France,Number,Males,Total,Cerebrovascular diseases,15 948,
2002,France,Number,Males,Total,Diseases of the respiratory system (J00-J99),17 849,
2002,France,Number,Males,Total,Influenza,219,
2002,France,Number,Males,Total,Pneumonia,5 214,
2002,France,Number,Males,Total,Chronic lower respiratory diseases,5 656,
2002,France,Number,Males,Total,Asthma and status asthmaticus,559,
2002,France,Number,Males,Total,Diseases of the digestive system (K00-K93),13 000,
2002,France,Number,Males,Total,"Ulcer of stomach, duodenum and jejunum",493,
2002,France,Number,Males,Total,Chronic liver disease,6 037,
2002,France,Number,Males,Total,Diseases of the skin and subcutaneous tissue (L00-L99),634,
2002,France,Number,Males,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),1 315,
2002,France,Number,Males,Total,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",150,
2002,France,Number,Males,Total,Diseases of the genitourinary system  (N00-N99),3 984,
2002,France,Number,Males,Total,Diseases of kidney and ureter,3 099,
2002,France,Number,Males,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",:,
2002,France,Number,Males,Total,Certain conditions originating in the perinatal period (P00-P96),947,
2002,France,Number,Males,Total,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",777,
2002,France,Number,Males,Total,Congenital malformations of the nervous system,65,
2002,France,Number,Males,Total,Congenital malformations of the circulatory system,321,
2002,France,Number,Males,Total,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",16 071,
2002,France,Number,Males,Total,Sudden infant death syndrome,183,
2002,France,Number,Males,Total,Ill-defined and unknown causes of mortality,7 475,
2002,France,Number,Males,Total,External causes of morbidity and mortality (V01-Y89),25 024,
2002,France,Number,Males,Total,Accidents,15 515,
2002,France,Number,Males,Total,Transport accidents (V01-V99),5 672,
2002,France,Number,Males,Total,Falls,2 673,
2002,France,Number,Males,Total,Accidental poisoning by and exposure to noxious substances,405,
2002,France,Number,Males,Total,Intentional self-harm,7 865,
2002,France,Number,Males,Total,Assault,325,
2002,France,Number,Males,Total,Event of undetermined intent,594,
2002,France,Number,Females,Total,All causes of death (A00-Y89) excluding S00-T98,266 555,
2002,France,Number,Females,Total,Certain infectious and parasitic diseases (A00-B99),5 194,
2002,France,Number,Females,Total,Tuberculosis,462,
2002,France,Number,Females,Total,Meningococcal infection,15,
2002,France,Number,Females,Total,Viral hepatitis,405,
2002,France,Number,Females,Total,Human immunodeficiency virus [HIV] disease,257,
2002,France,Number,Females,Total,Neoplasms,62 599,
2002,France,Number,Females,Total,Malignant neoplasms (C00-C97),59 385,
2002,France,Number,Females,Total,"Malignant neoplasm of lip, oral cavity, pharynx",796,
2002,France,Number,Females,Total,Malignant neoplasm of oesophagus,759,
2002,France,Number,Females,Total,Malignant neoplasm of stomach,2 031,
2002,France,Number,Females,Total,Malignant neoplasm of colon,5 867,
2002,France,Number,Females,Total,"Malignant neoplasm of rectosigmoid junction, rectum, anus and anal canal",1 792,
2002,France,Number,Females,Total,Malignant neoplasm of liver and intrahepatic bile ducts,1 788,
2002,France,Number,Females,Total,Malignant neoplasm of pancreas,3 659,
2002,France,Number,Females,Total,"Malignant neoplasm of larynx,  trachea, bronchus and lung",5 091,
2002,France,Number,Females,Total,Malignant melanoma of skin,666,
2002,France,Number,Females,Total,Malignant neoplasm of breast,11 301,
2002,France,Number,Females,Total,Malignant neoplasm of cervix uteri,727,
2002,France,Number,Females,Total,Malignant neoplasm of other parts of uterus,2 214,
2002,France,Number,Females,Total,Malignant neoplasm of ovary,3 334,
2002,France,Number,Females,Total,Malignant neoplasm of prostate,:,
2002,France,Number,Females,Total,"Malignant neoplasm of kidney, except renal pelvis",1 143,
2002,France,Number,Females,Total,Malignant neoplasm of bladder,1 019,
2002,France,Number,Females,Total,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",6 024,
2002,France,Number,Females,Total,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1 229,
2002,France,Number,Females,Total,"Endocrine, nutritional and metabolic diseases (E00-E90)",12 047,
2002,France,Number,Females,Total,Diabetes mellitus,6 517,
2002,France,Number,Females,Total,Mental and behavioural disorders (F00-F99),10 733,
2002,France,Number,Females,Total,Mental and behavioural disorders due to use of alcohol,625,
2002,France,Number,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",25,
2002,France,Number,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),13 225,
2002,France,Number,Females,Total,Meningitis,92,
2002,France,Number,Females,Total,Diseases of the circulatory system (I00-I99),86 365,
2002,France,Number,Females,Total,Ischaemic heart diseases,19 549,
2002,France,Number,Females,Total,"Other heart diseases (I30-I33, I39-I52)",26 604,
2002,France,Number,Females,Total,Cerebrovascular diseases,21 835,
2002,France,Number,Females,Total,Diseases of the respiratory system (J00-J99),16 378,
2002,France,Number,Females,Total,Influenza,337,
2002,France,Number,Females,Total,Pneumonia,6 097,
2002,France,Number,Females,Total,Chronic lower respiratory diseases,3 390,
2002,France,Number,Females,Total,Asthma and status asthmaticus,872,
2002,France,Number,Females,Total,Diseases of the digestive system (K00-K93),11 529,
2002,France,Number,Females,Total,"Ulcer of stomach, duodenum and jejunum",446,
2002,France,Number,Females,Total,Chronic liver disease,2 600,
2002,France,Number,Females,Total,Diseases of the skin and subcutaneous tissue (L00-L99),1 585,
2002,France,Number,Females,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),2 630,
2002,France,Number,Females,Total,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",583,
2002,France,Number,Females,Total,Diseases of the genitourinary system  (N00-N99),4 191,
2002,France,Number,Females,Total,Diseases of kidney and ureter,3 251,
2002,France,Number,Females,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",81,
2002,France,Number,Females,Total,Certain conditions originating in the perinatal period (P00-P96),698,
2002,France,Number,Females,Total,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",703,
2002,France,Number,Females,Total,Congenital malformations of the nervous system,54,
2002,France,Number,Females,Total,Congenital malformations of the circulatory system,286,
2002,France,Number,Females,Total,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",20 475,
2002,France,Number,Females,Total,Sudden infant death syndrome,115,
2002,France,Number,Females,Total,Ill-defined and unknown causes of mortality,5 982,
2002,France,Number,Females,Total,External causes of morbidity and mortality (V01-Y89),16 893,
2002,France,Number,Females,Total,Accidents,12 693,
2002,France,Number,Females,Total,Transport accidents (V01-V99),1 930,
2002,France,Number,Females,Total,Falls,2 790,
2002,France,Number,Females,Total,Accidental poisoning by and exposure to noxious substances,458,
2002,France,Number,Females,Total,Intentional self-harm,2 945,
2002,France,Number,Females,Total,Assault,211,
2002,France,Number,Females,Total,Event of undetermined intent,232,
